akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 50, 25);0;0.001;l2;0.0001;64;0.8;0.9;1.00E-06;0.015296283;0.320147523;549;2.8
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.8;0.9;1.00E-07;0.015296303;0.320146641;549;3.4
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;0.99;0.999;1.00E-07;0.015298015;0.320070548;732;3.75
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-06;0.015298563;0.320046207;549;4.05
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;0.8;0.9;1.00E-08;0.015299224;0.320016813;549;10.91
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;16;0.8;0.9;1.00E-07;0.015299348;0.320011293;732;4.45
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;0.9;0.99;1.00E-08;0.015300299;0.319969052;732;3.43
relu;(100, 100, 100, 50);0;0.001;l2;0.0001;16;0.8;0.9;1.00E-06;0.015300913;0.319941756;732;4.43
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;16;0.9;0.999;1.00E-08;0.015300946;0.319940301;732;4.35
relu;(100, 50, 25);0;0.01;l2;0.0001;16;0.99;0.999;1.00E-08;0.01530173;0.319905445;732;3.57
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.99;0.99;1.00E-07;0.015301916;0.319897156;549;3.05
relu;(50, 50, 50);0;0.001;l2;0.0001;32;0.8;0.9;1.00E-07;0.015302211;0.319884069;610;2.45
relu;(100, 50, 25);0;0.001;l1;1.00E-05;32;0.8;0.999;1.00E-07;0.015303037;0.319847329;610;3.17
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.9;0.99;1.00E-07;0.015303457;0.31982869;549;4.44
relu;(100, 50, 25);0;0.01;l2;0.0001;64;0.8;0.999;1.00E-07;0.015303488;0.319827289;549;2.86
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;64;0.9;0.9;1.00E-07;0.015305124;0.319754572;549;3.89
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.8;0.99;1.00E-08;0.015305281;0.319747612;610;4.29
relu;(100, 100, 100, 50);0;0.001;l1;1.00E-05;64;0.99;0.99;1.00E-08;0.015305458;0.319739739;549;4.21
relu;(50, 50, 50);0;0.03;none;1.00E-05;16;0.8;0.9;1.00E-07;0.015305806;0.319724276;732;1.86
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.9;0.99;1.00E-07;0.015306287;0.319702919;549;3.12
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.9;0.999;1.00E-07;0.015306382;0.319698662;610;3.18
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-08;0.015306781;0.319680933;549;2.91
relu;(100, 50, 25);0;0.001;l1;1.00E-05;32;0.99;0.99;1.00E-08;0.015307222;0.319661342;610;3.26
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;64;0.8;0.99;1.00E-06;0.015307831;0.319634257;549;3.85
relu;(100, 50, 25);0;0.03;l2;1.00E-05;64;0.9;0.9;1.00E-07;0.015308177;0.319618891;549;3.03
