akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(50, 25);0.2;0.003;l2;0.001;64;1.00E-06;0.9;0.02016268;0.150577977;504;0.4
relu;(100, 100, 100, 50);0;0.001;l2;1.00E-05;64;1.00E-06;0.9;0.020162704;0.150576976;504;2.31
relu;(100, 50, 25);0;0.003;l2;0.001;16;1.00E-06;0.9;0.020171621;0.150201317;506;0.5
relu;(50, 25);0;0.001;l2;0.01;64;1.00E-05;0.9;0.020174496;0.150080208;504;0.3
relu;(100, 50, 25);0;0.001;l2;0.01;32;1.00E-06;0.9;0.020175719;0.150028698;506;1.29
relu;(50, 25);0.2;0.001;l2;1.00E-05;32;1.00E-05;0.9;0.020181442;0.149787571;506;0.28
relu;(50, 25);0.2;0.003;l2;1.00E-05;16;1.00E-06;0.8;0.020182691;0.149734964;506;0.34
relu;(50, 25);0;0.001;l1;0.001;16;1.00E-05;0.8;0.020187248;0.149542994;506;0.28
relu;(50, 25);0;0.003;l2;0.01;16;1.00E-05;0.8;0.020191221;0.149375597;506;0.29
relu;(100, 50, 25);0.2;0.03;l1;1.00E-05;16;1.00E-05;0.8;0.020191883;0.149347706;506;1.67
relu;(50, 25);0.2;0.003;l2;0.001;64;1.00E-06;0.99;0.020195747;0.149184924;504;0.35
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;1.00E-06;0.8;0.020201551;0.148940416;504;3.03
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.02020249;0.148900854;504;2.85
relu;(100, 50, 25);0.2;0.03;l2;1.00E-05;32;1.00E-06;0.9;0.020209641;0.148599591;506;1.73
relu;(100, 100, 100, 50);0;0.003;l2;1.00E-05;32;1.00E-05;0.9;0.020211422;0.148524555;506;2.21
relu;(100, 100, 100, 50);0;0.001;l2;1.00E-05;32;1.00E-05;0.99;0.02021468;0.148387318;506;2.16
relu;(100, 50, 25);0;0.003;l2;0.001;64;1.00E-05;0.9;0.020217178;0.148282089;504;1.26
relu;(50, 25);0.2;0.003;l2;1.00E-05;16;1.00E-06;0.9;0.020226856;0.147874361;506;0.31
relu;(100, 50, 25);0.2;0.001;l2;0.001;32;1.00E-06;0.99;0.02022967;0.147755827;506;1.69
relu;(100, 50, 25);0;0.003;l1;0.001;64;0.0001;0.99;0.020236432;0.147470945;504;1.52
relu;(50, 25);0.2;0.003;l1;1.00E-05;32;1.00E-06;0.99;0.020238978;0.147363685;506;0.42
relu;(100, 100, 100, 50);0;0.03;l2;0.001;64;0.0001;0.9;0.020240844;0.147285064;504;1.75
relu;(100, 50, 25);0.2;0.003;l1;1.00E-05;64;1.00E-06;0.9;0.020242752;0.147204703;504;1.69
relu;(100, 50, 25);0;0.03;l2;1.00E-05;16;0.0001;0.8;0.020242821;0.147201785;506;1.08
relu;(50, 25);0.2;0.003;l2;1.00E-05;64;1.00E-05;0.99;0.020253813;0.146738722;504;0.36
relu;(50, 25);0;0.03;l2;1.00E-05;16;1.00E-05;0.9;0.020256149;0.146640274;506;0.25
relu;(50, 25);0.2;0.03;l1;1.00E-05;64;1.00E-06;0.8;0.020256413;0.146629189;504;0.46
relu;(100, 100, 100, 50);0;0.003;l2;0.001;32;1.00E-05;0.99;0.020260618;0.146452039;506;1.75
relu;(50, 25);0;0.001;l1;0.001;32;1.00E-06;0.8;0.02026192;0.146397163;506;0.28
relu;(50, 25);0.2;0.001;l2;0.001;32;0.0001;0.99;0.020273625;0.145904065;506;0.37
relu;(50, 25);0;0.03;l2;0.001;16;1.00E-06;0.9;0.020277559;0.145738309;506;0.27
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;1.00E-06;0.8;0.020288973;0.145257481;504;1.62
relu;(100, 100, 100, 50);0;0.003;l2;0.001;32;1.00E-05;0.9;0.020291275;0.145160486;506;1.94
relu;(50, 25);0;0.003;l1;0.001;16;0.0001;0.9;0.020291823;0.145137416;506;0.29
relu;(50, 25);0.2;0.003;l1;1.00E-05;64;1.00E-06;0.8;0.020304821;0.144589822;504;0.42
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.0001;0.99;0.020314968;0.14416232;506;1.44
relu;(50, 25);0.2;0.001;l1;1.00E-05;32;1.00E-06;0.99;0.02031726;0.144065792;506;0.36
relu;(100, 100, 100, 50);0;0.003;l2;0.01;16;0.0001;0.9;0.02031885;0.143998782;506;1.25
relu;(50, 25);0.2;0.001;l2;1.00E-05;64;1.00E-06;0.9;0.020319578;0.143968117;504;0.29
relu;(100, 50, 25);0;0.001;l2;0.01;64;1.00E-05;0.8;0.020322809;0.143831994;504;1.59
relu;(100, 100, 100, 50);0;0.03;l2;0.001;64;1.00E-05;0.8;0.02032306;0.143821436;504;1.72
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;32;1.00E-05;0.9;0.020343145;0.142975275;506;2.21
relu;(100, 100, 100, 50);0;0.003;l2;0.001;16;1.00E-06;0.9;0.020354818;0.142483502;506;1.79
relu;(100, 50, 25);0.2;0.001;l2;1.00E-05;64;1.00E-05;0.8;0.020359718;0.142277087;504;1.63
relu;(50, 25);0;0.003;l2;0.01;32;0.0001;0.99;0.020360565;0.142241405;506;0.27
relu;(100, 50, 25);0;0.001;l2;0.01;16;1.00E-05;0.99;0.020365561;0.142030951;506;1.12
relu;(100, 50, 25);0.2;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.020371975;0.141760733;504;1.8
relu;(50, 25);0.2;0.03;l2;0.001;16;0.0001;0.9;0.020372209;0.141750859;506;0.34
relu;(50, 25);0.2;0.003;l2;0.001;64;1.00E-05;0.8;0.02037373;0.141686801;504;0.26
relu;(50, 25);0.2;0.003;l2;0.001;32;1.00E-05;0.9;0.020373952;0.141677446;506;0.34
relu;(50, 25);0;0.003;l2;0.001;64;1.00E-05;0.99;0.020376288;0.141579037;504;0.3
relu;(50, 25);0.2;0.03;l1;1.00E-05;32;1.00E-06;0.8;0.02037919;0.141456753;506;0.4
relu;(50, 25);0.2;0.003;l2;0.001;16;1.00E-05;0.99;0.020382188;0.14133045;506;0.33
relu;(100, 50, 25);0;0.001;l1;0.001;64;1.00E-05;0.9;0.020387625;0.14110142;504;1.46
relu;(100, 50, 25);0;0.003;l2;1.00E-05;64;1.00E-06;0.9;0.020387711;0.141097786;504;0.42
relu;(100, 100, 100, 50);0.2;0.003;l2;0.001;64;1.00E-06;0.9;0.020389552;0.141020217;504;1.03
relu;(100, 50, 25);0;0.03;l2;0.001;64;1.00E-06;0.8;0.02039354;0.140852204;504;1.39
relu;(50, 25);0;0.03;l2;0.001;16;1.00E-06;0.8;0.020393933;0.140835674;506;0.24
relu;(100, 50, 25);0;0.001;l1;0.001;32;1.00E-05;0.8;0.020409086;0.140197283;506;1.26
relu;(100, 100, 100, 50);0;0.003;l2;0.001;16;1.00E-05;0.9;0.020410852;0.140122902;506;1.81
relu;(100, 50, 25);0;0.03;l2;0.001;32;1.00E-05;0.9;0.020413082;0.140028959;506;1.26
relu;(100, 100, 100, 50);0;0.001;l1;0.001;16;1.00E-05;0.8;0.020417426;0.139845937;506;1.49
relu;(50, 25);0;0.001;l1;0.001;64;1.00E-06;0.8;0.020417875;0.139827042;504;0.33
relu;(100, 50, 25);0;0.003;l1;0.001;32;0.0001;0.8;0.020422934;0.139613898;506;1.68
relu;(50, 25);0;0.03;l2;1.00E-05;64;1.00E-05;0.8;0.020437564;0.13899757;504;0.34
relu;(100, 100, 100, 50);0;0.003;l2;1.00E-05;64;1.00E-05;0.99;0.020455325;0.138249298;504;2.59
relu;(100, 50, 25);0;0.001;l2;0.01;32;1.00E-06;0.8;0.02046159;0.137985378;506;1.28
relu;(50, 25);0.2;0.001;l2;0.001;32;1.00E-06;0.8;0.02046161;0.137984529;506;0.36
relu;(100, 100, 100, 50);0;0.003;l1;0.001;64;0.0001;0.8;0.0204632;0.137917544;504;2.61
relu;(50, 25);0.2;0.001;l2;1.00E-05;32;1.00E-06;0.8;0.020465076;0.137838509;506;0.36
relu;(100, 100, 100, 50);0;0.001;l1;0.001;16;1.00E-05;0.9;0.020477856;0.137300139;506;1.52
relu;(50, 25);0;0.003;l1;0.001;32;1.00E-06;0.9;0.020484391;0.137024794;506;0.31
relu;(100, 100, 100, 50);0;0.001;l2;1.00E-05;64;1.00E-05;0.8;0.020485726;0.136968585;504;2.61
relu;(100, 50, 25);0;0.003;l2;0.001;16;1.00E-05;0.99;0.020486864;0.13692064;506;0.31
