akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;0.0001;0.9;0.015010812;0.283138952;732;3.91
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;1.00E-05;0.9;0.015011478;0.283107154;549;4.62
relu;(50, 25);0;0.003;l2;1.00E-05;32;1.00E-06;0.8;0.015014655;0.282955407;610;1.4
relu;(50, 25);0;0.003;l2;0.001;64;1.00E-06;0.99;0.015016911;0.282847688;549;1.48
relu;(100, 100, 100, 50);0;0.003;l2;1.00E-05;32;1.00E-06;0.9;0.015017189;0.282834378;610;3.67
relu;(100, 50, 25);0.1;0.01;l1;1.00E-05;64;1.00E-06;0.9;0.015019508;0.282723628;549;3.72
relu;(50, 25);0;0.01;l1;1.00E-05;64;1.00E-06;0.9;0.015020025;0.282698972;549;1.55
relu;(50, 25);0.1;0.03;l2;1.00E-05;64;1.00E-06;0.8;0.015021184;0.282643589;549;1.83
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;1.00E-05;0.9;0.015021978;0.282605669;549;2.65
relu;(50, 25);0;0.03;l2;1.00E-05;16;1.00E-05;0.9;0.015022512;0.282580189;732;1.9
relu;(50, 25);0;0.01;l2;1.00E-05;16;1.00E-06;0.8;0.015024014;0.282508475;732;1.89
relu;(100, 100, 100, 50);0;0.001;l2;0.001;64;1.00E-06;0.9;0.015025418;0.282441415;549;3.74
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;1.00E-05;0.9;0.015025599;0.282432787;732;4.93
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;1.00E-05;0.9;0.015025665;0.282429613;610;4.34
relu;(50, 25);0;0.003;l2;0.001;16;1.00E-05;0.9;0.015026096;0.282409047;732;1.67
relu;(100, 50, 25);0;0.003;l2;1.00E-05;16;1.00E-06;0.8;0.015027105;0.282360867;732;4.54
relu;(50, 25);0;0.01;l1;1.00E-05;32;1.00E-05;0.99;0.0150273;0.282351551;610;1.58
relu;(100, 50, 25);0;0.01;l2;0.001;64;1.00E-06;0.9;0.015028807;0.28227955;549;2.47
relu;(100, 50, 25);0.1;0.03;l2;1.00E-05;32;1.00E-06;0.8;0.015029418;0.282250374;610;3.75
relu;(100, 100, 100, 50);0;0.003;l2;1.00E-05;16;1.00E-06;0.99;0.015033027;0.282078022;732;3.92
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;16;1.00E-05;0.99;0.015033141;0.282072581;732;4.52
relu;(50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.8;0.015033519;0.282054539;732;2.03
relu;(100, 50, 25);0;0.01;l2;1.00E-05;32;1.00E-05;0.9;0.015035466;0.281961555;610;4.38
relu;(100, 50, 25);0;0.003;l1;1.00E-05;64;1.00E-06;0.8;0.015035483;0.28196073;549;3.99
relu;(50, 25);0;0.01;l2;1.00E-05;64;1.00E-05;0.8;0.015040276;0.281731828;549;1.54
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;1.00E-06;0.9;0.015040629;0.281714986;732;4.04
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.9;0.015041822;0.281658;732;3.51
relu;(100, 50, 25);0;0.03;l2;1.00E-05;32;0.0001;0.8;0.015042909;0.281606115;610;2.66
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;0.0001;0.8;0.015043638;0.281571271;732;3.88
relu;(50, 25);0;0.01;l2;1.00E-05;64;1.00E-05;0.9;0.015044287;0.281540273;549;1.43
relu;(100, 50, 25);0;0.03;l2;0.001;32;0.0001;0.99;0.015047125;0.281404759;610;2.61
relu;(100, 100, 100, 50);0;0.01;l2;0.001;16;1.00E-05;0.8;0.015047376;0.281392784;732;4.25
relu;(100, 100, 100, 50);0;0.01;l2;0.001;32;0.0001;0.9;0.01504759;0.281382541;610;3.45
relu;(50, 25);0;0.03;l2;1.00E-05;64;1.00E-05;0.8;0.015049153;0.281307921;549;1.47
relu;(100, 100, 100, 50);0;0.003;l2;0.001;16;1.00E-05;0.8;0.015049927;0.281270961;732;4.1
relu;(100, 50, 25);0;0.03;l2;1.00E-05;16;1.00E-05;0.9;0.015051299;0.281205429;732;3.13
relu;(50, 25);0;0.03;l1;1.00E-05;64;0.0001;0.99;0.015053836;0.281084286;549;1.67
relu;(100, 50, 25);0;0.003;l1;1.00E-05;64;1.00E-06;0.9;0.015054123;0.281070546;549;3.7
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;1.00E-06;0.8;0.015054561;0.281049667;732;5.44
relu;(50, 25);0;0.01;l2;0.001;32;1.00E-06;0.9;0.015058119;0.280879723;610;1.61
relu;(100, 50, 25);0;0.003;l2;0.001;32;1.00E-05;0.99;0.015060496;0.280766204;610;4.42
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;0.0001;0.8;0.01506094;0.28074499;732;6
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;32;1.00E-05;0.8;0.015061855;0.280701314;610;3.98
relu;(50, 25);0;0.01;l1;1.00E-05;16;1.00E-05;0.9;0.015062548;0.28066822;732;1.83
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.015063647;0.280615752;549;3.76
relu;(100, 100, 100, 50);0;0.001;l2;0.001;16;1.00E-06;0.99;0.01506427;0.280585962;732;4.74
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;1.00E-05;0.9;0.015065752;0.280515203;732;3.85
relu;(50, 25);0.1;0.01;l2;1.00E-05;32;1.00E-06;0.9;0.015065876;0.280509295;610;1.87
relu;(100, 50, 25);0;0.003;l1;1.00E-05;32;1.00E-06;0.8;0.01506627;0.280490461;610;4.85
relu;(100, 100, 100, 50);0;0.01;l2;0.001;16;0.0001;0.99;0.015067205;0.280445828;732;4.01
relu;(50, 25);0;0.003;l2;0.001;64;1.00E-05;0.99;0.015067315;0.280440575;549;1.48
relu;(100, 50, 25);0;0.01;l2;0.001;64;1.00E-06;0.8;0.015069523;0.280335123;549;2.56
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;16;0.0001;0.9;0.015069878;0.280318167;732;4.29
sigmoid;(50, 25);0;0.03;l2;1.00E-05;32;1.00E-06;0.8;0.015069892;0.280317473;610;11.18
relu;(50, 25);0;0.03;l1;1.00E-05;32;0.0001;0.8;0.015070222;0.280301753;610;1.73
