akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0.1;0.01;l1;0.0001;32;0.9;0.99;1.00E-08;0.020149542;0.195342857;506;2.44
relu;(100, 100, 100, 50);0.1;0.01;none;0.0001;32;0.9;0.9;1.00E-08;0.020150382;0.195309314;506;1.53
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.8;0.99;1.00E-08;0.020152523;0.195223828;504;0.46
relu;(50, 50, 50);0.3;0.01;l2;0.0001;32;0.9;0.9;1.00E-08;0.020153778;0.19517373;506;0.7
relu;(100, 50, 25);0;0.03;l1;0.0001;32;0.9;0.999;1.00E-06;0.020154501;0.195144863;506;0.35
relu;(100, 50, 25);0;0.01;l1;0.0001;16;0.9;0.99;1.00E-08;0.020156017;0.195084283;506;0.33
relu;(100, 100, 100, 50);0;0.01;none;0.01;64;0.99;0.999;1.00E-08;0.020160221;0.194916431;504;1.43
relu;(100, 50, 25);0;0.01;none;0.01;64;0.99;0.99;1.00E-06;0.020166451;0.194667619;504;0.8
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.99;0.99;1.00E-08;0.020167083;0.194642401;504;0.45
relu;(50, 50, 50);0;0.01;none;0.0001;32;0.99;0.99;1.00E-08;0.020174857;0.194331929;506;0.38
relu;(100, 100, 100, 50);0.1;0.01;l2;0.0001;32;0.8;0.9;1.00E-06;0.020176708;0.194258033;506;1.55
relu;(50, 50, 50);0.1;0.03;l2;0.0001;32;0.8;0.999;1.00E-08;0.020178262;0.194195946;506;0.41
relu;(100, 100, 100, 50);0.1;0.01;l2;0.0001;16;0.8;0.99;1.00E-06;0.020181024;0.194085659;506;1.38
relu;(100, 50, 25);0;0.03;l2;1.00E-05;64;0.8;0.9;1.00E-06;0.020185497;0.193907056;504;0.34
relu;(100, 50, 25);0.1;0.01;none;0.0001;16;0.8;0.9;1.00E-06;0.020193237;0.193597953;506;0.98
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.8;0.999;1.00E-08;0.020201683;0.193260659;504;0.52
relu;(100, 100, 100, 50);0.1;0.01;none;0.0001;64;0.8;0.99;1.00E-08;0.020207639;0.193022832;504;1.92
relu;(100, 100, 100, 50);0;0.001;l1;0.0001;32;0.99;0.999;1.00E-06;0.020208072;0.193005517;506;1.24
relu;(100, 100, 100, 50);0;0.01;l1;0.0001;32;0.9;0.9;1.00E-08;0.020212202;0.192840587;506;1.51
relu;(50, 50, 50);0;0.03;l1;1.00E-05;64;0.9;0.999;1.00E-08;0.020217705;0.192620821;504;0.42
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;64;0.8;0.9;1.00E-06;0.020220455;0.192511017;504;1.58
relu;(100, 50, 25);0;0.03;l2;1.00E-05;16;0.9;0.99;1.00E-06;0.020227026;0.192248606;506;0.3
relu;(50, 50, 50);0;0.03;none;1.00E-05;16;0.8;0.9;1.00E-08;0.020241686;0.191663187;506;0.32
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;64;0.9;0.9;1.00E-08;0.020247773;0.191420092;504;1.5
relu;(50, 50, 50);0.1;0.001;none;0.0001;16;0.9;0.9;1.00E-06;0.020249597;0.191347261;506;0.37
relu;(100, 100, 100, 50);0;0.01;none;0.01;16;0.9;0.9;1.00E-06;0.020250472;0.191312317;506;1.05
relu;(50, 50, 50);0;0.03;l1;0.0001;64;0.9;0.99;1.00E-06;0.020253163;0.191204854;504;0.41
relu;(100, 50, 25);0;0.001;none;0.0001;64;0.99;0.9;1.00E-08;0.020257822;0.191018783;504;1.7
relu;(100, 100, 100, 50);0;0.03;l2;0.0001;16;0.99;0.999;1.00E-08;0.020258772;0.19098087;506;0.93
relu;(50, 50, 50);0.1;0.01;l1;0.0001;64;0.8;0.99;1.00E-08;0.020267496;0.190632484;504;0.62
relu;(50, 50, 50);0.1;0.001;l1;0.0001;64;0.8;0.9;1.00E-08;0.02027069;0.19050494;504;0.53
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;0.9;0.9;1.00E-08;0.020271769;0.190461832;506;0.27
relu;(100, 50, 25);0;0.01;l1;0.0001;32;0.99;0.999;1.00E-08;0.020279766;0.190142469;506;0.38
relu;(100, 50, 25);0;0.03;l1;0.0001;16;0.9;0.999;1.00E-06;0.020282909;0.190016977;506;0.34
relu;(100, 100, 100, 50);0.1;0.01;none;1.00E-05;32;0.8;0.99;1.00E-06;0.020283591;0.189989711;506;1.37
relu;(100, 50, 25);0.1;0.01;none;0.0001;32;0.9;0.9;1.00E-06;0.020290574;0.189710869;506;1
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;32;0.9;0.99;1.00E-08;0.020294769;0.189543362;506;1.3
relu;(50, 50, 50);0;0.03;l1;0.0001;32;0.9;0.999;1.00E-06;0.020299596;0.189350566;506;0.37
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;32;0.9;0.999;1.00E-06;0.020300557;0.18931222;506;1.22
relu;(100, 100, 100, 50);0;0.001;l1;0.0001;64;0.99;0.99;1.00E-06;0.020312042;0.188853575;504;1.61
relu;(100, 100, 100, 50);0.1;0.01;l1;1.00E-05;32;0.8;0.999;1.00E-06;0.020312088;0.188851719;506;1.59
relu;(50, 50, 50);0.1;0.01;l1;0.0001;32;0.8;0.999;1.00E-06;0.020314854;0.188741279;506;0.76
relu;(100, 50, 25);0.1;0.03;l2;1.00E-05;64;0.9;0.9;1.00E-06;0.020324485;0.188356662;504;0.96
relu;(100, 50, 25);0.3;0.01;l1;1.00E-05;32;0.9;0.9;1.00E-06;0.020325083;0.188332776;506;0.49
relu;(50, 50, 50);0.1;0.01;l2;1.00E-05;32;0.9;0.9;1.00E-06;0.020327204;0.18824806;506;0.59
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;0.9;0.99;1.00E-08;0.020329571;0.18815354;504;0.43
relu;(100, 50, 25);0;0.03;l1;0.0001;64;0.8;0.9;1.00E-08;0.020332435;0.188039176;504;0.5
relu;(100, 100, 100, 50);0;0.01;l1;0.0001;32;0.9;0.999;1.00E-06;0.020334145;0.187970873;506;1.52
relu;(50, 50, 50);0.1;0.03;l2;0.0001;64;0.8;0.999;1.00E-06;0.020334633;0.187951418;504;0.71
relu;(100, 50, 25);0;0.01;l2;0.0001;32;0.9;0.999;1.00E-08;0.020337518;0.187836181;506;0.3
relu;(50, 50, 50);0;0.03;l1;0.0001;64;0.9;0.999;1.00E-08;0.020339561;0.187754604;504;0.4
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;0.99;0.999;1.00E-06;0.020351648;0.187271926;506;0.28
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.99;0.99;1.00E-08;0.020360874;0.186903481;504;0.44
relu;(50, 50, 50);0;0.01;l1;0.0001;32;0.9;0.9;1.00E-08;0.020361885;0.186863132;506;0.41
relu;(100, 50, 25);0.1;0.03;l1;1.00E-05;64;0.9;0.999;1.00E-08;0.020365651;0.186712726;504;1.14
relu;(100, 100, 100, 50);0;0.03;none;1.00E-05;16;0.9;0.9;1.00E-08;0.020368169;0.186612184;506;0.88
relu;(100, 50, 25);0;0.01;l1;0.0001;16;0.9;0.9;1.00E-06;0.020371124;0.186494175;506;0.34
relu;(100, 50, 25);0;0.03;none;1.00E-05;64;0.9;0.9;1.00E-06;0.020371188;0.18649161;504;0.37
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;64;0.99;0.99;1.00E-08;0.020374;0.186379308;504;1.59
relu;(100, 100, 100, 50);0;0.03;none;1.00E-05;64;0.8;0.999;1.00E-08;0.020378616;0.186194986;504;1.27
